conhecimento	escola
chalacear	vasconcear
pleito	sabatina
açucarar	dulcificar
calmante	sedativo
bafejar	encorajar
seqüência	transcorrência
efeituar-se	realizar-se
abatimento	quebrantamento
entoar	soar
acovar	cravar
abranger-se	incluir-se
característica	particularidade
coluna	pilar
miserável	sovina
anunciar	expedir
alcagüetar	dedo-durar
solução	terminação
arreliar	encalmar
aspergido	borrifado
desvergonha	impudência
enunciar	mencionar
açouteira	rebenque
petrechar-se	premunir-se
desligar-se	separar-se
ludibriar	pantomimar
balanquear	pespontar
fúlgido	resplendoroso
patifaria	velhacaria
enchoiriçar	flagelar
esfazer	gastar
ferretoar	increpar
atontear	azamboar
acairelar	cairelar
desmemoriamento	esquecimento
cachar	capear
enegrecido	manchado
lixento	porco
afadigado	afanado
emotividade	sensibilidade
beneficiar	restabelecer
garrulante	palavreador
deslustrar	embaciar
chamejar	esplendecer
colorizar	decorar
germinar	levantar
certeza	segureza
aprontar	vencer
espremer	estringir
cachorrada	cainça
morder	zavar
legisperito	legista
reportar-se	temperar-se
novato	novo
encrespar	espetar
enfreamento	frenamento
importunar	molestar
exterminar	mandar
atroz	lacerante
favorecer	sorrir
criar	fornecer
regougar	rosnar
sacudida	tremor
erro	falha
insignificante	inútil
limpar	rastelar
enfrear	modicar
recondicionar	reparar
diligenciar	intentar
antagônico	contraditório
embate	oposição
afazer	avezar
desflorado	esflorado
imperfeição	senão
gralhar	palavrear
empurpurar	vermelhecer
barrete	casquete
depauperado	empobrecido
maligno	nóxio
cópia	traslado
adjudicar	concatenar
corrigir	ordenar
desfazer	rescindir
pegadiço	tenaz
açodamento	alvoroto
abominoso	aborrecido
engolir	rebater
abugalhar-se	arregalar-se
âmago	bojo
contra-arrestar	empacar
achatadura	amolgadura
sucedimento	sucesso
burlequear	haraganar
aquebrantar	infringir
amorenado	bronzeado
assombrear	entrevar
contrariar	desgostar
concordar	tratar
desmentir	diferir
manha	savoir-faire
gulodice	lambiscaria
calhorda	desprezível
relembrar	revivescer
pantear	zombar
mariposar	mariposear
discorrer	especular
intensificar	recrescer
avançar	vingar
curar	ocupar-se
estudar	habilitar-se
porte	vivenda
enfuriar	exaltar
declinar	sair
desmaecer	esmaiar
abespinhável	anojadiço
gretar	rachar
estradear	mandar
esfriamento	resfriamento
dizedor	tagarela
incólume	intacto
desocupar	vaziar
escárnio	ludíbrio
provimento	tento
devolutivo	devolutório
embuçalar	trautear
baratar	desvalorizar
nugativo	vão
socalcar	suplantar
ressaído	ressaltado
denegrecer	deslustrar
arredado	derivado
jovem	mancebo
acessível	comunicativo
abanar	balouçar
ameigar	ceder
regularidade	uniformidade
aromático	olorante
importuno	inadequado
desprestígio	queda
marroada	porretada
atafulhado	espadongado
amenoso	suave
equânimo	justo
impregnar	induzir
coruscação	relâmpago
deixar	respeitar
desmemoriado	esquecido
derreigar	desraigar
chavasqueiro	rústico
finalidade	papel
coligir	extrair
ressoar	rimbombar
esbarrar	refugar
individuar	privilegiar
cerebral	mental
captar	produzir
ciumoso	invejoso
marginal	ripícola
cândido	melindroso
suspensão	transporte
derrapar	patinar
gadelhudo	guedelhudo
rebentar	vir
abacelar	embacelar
desfiar	esgarçar
argüir	porfiar
emperrar	estomagar
apodrecido	decomposto
aclimado	avezado
alijar	cuspir
amodorrar-se	imergir-se
incoerência	incongruidade
apunhalar	frechar
aberto	aprofundado
melhorar	serenar
harpagão	sovina
enzonzar	estontear
circular	mexer-se
desamável	grosseiro
degelar	desgelar
escabritar-se	estomagar-se
berregar	expluir
obcecação	paixão
apalermado	tolo
antidemocrata	antidemocrático
extravaganciar	malbaratar
agitado	fremente
fortificação	praça
emporcalhar-se	enodoar-se
augurar	conjecturar
bamboleante	gingante
afluir	refluir
aprestado	preste
alhanado	igualado
abrangência	encerramento
alborcar	cambar
dar	engendrar
descreditar	exautorar
babaca	babão
defumar	perfumar
estafa	exaustão
roldão	sarrabulhada
atiçar	espicaçar
concutir	encasquetar
altaragem	voto
aparelho	utensílio
arcaboiçar	esboçar
assinar	traçar
estuporar	perder
câmbio	troca
colorante	corante
matagal	selva
negociado	permutado
dúlcido	fagueiro
desasseado	espurco
dessoterrar	revelar
embasbacado	surpreso
devaneio	faz-de-conta
corromper	malignar
barulhoso	rumoroso
comprobação	confirmação
contaminar	infeccionar
poder	suportar
inçar	invadir
atingir	fisgar
apoquentar-se	molestar-se
deliberado	resoluto
exsuar	transudar
depreciação	maledicência
complicação	embaraço
desterro	solidão
alagado	arrasado
arruaceiro	bagunceiro
adensar	condensar
pername	pernão
cansaço	lassitude
agregar-se	consociar-se
fiel	sectário
exploração	parasitismo
dilapidar	esfrangalhar
encabular	perseguir
zabumbar	zupar
queimar	requeimar
calafriento	calefriento
atumultuar	desarrumar
belo	suave
aromalizar	balsamar
abeirante	rente
puxar	tender
estabilidade	firmeza
objetivo	objeto
andar	operar
arrebatado	desembestado
aprazado	procrastinado
anojar	entediar
caborje	salgação
distinguido	divisado
bimar	bímare
brejo	sapal
incendiar-se	referver-se
patetear	pejar-se
hipócrita	refalsado
lentescente	pegajento
nuvem	sombra
descombinar	inimistar
batalhar	militar
cusparada	cuspinhada
impersistente	inconstante
denotar	expressar
arrependido	compungido
assustador	terrível
arenguear	rezingar
conta-giros	taquímetro
desgrenhar	enredar
abrigado	amparado
estendal	varal
rebrilhante	resplandente
espinicado	janota
costume	uso
persistir	ter-se
facetar	refinar
encoberto	nuvioso
farfante	vaniloqüente
espinho	ferrão
arrelia	zanga
espetar	traspassar
adocicado	melífluo
comparável	parecente
desatender	empalidecer
gebo	mal-apresentado
fé	religiosidade
esplendecer	flamejar
borbotão	borbulhão
descarregar	desquitar
remover	transferir
anteferir	preferir
genetriz	genitora
deter-se	plantar-se
fornir	munir
alterar	danar
impedimento	obstáculo
contestar	contrariar
engraxador	engraxate
cabeçudo	contumaz
hierático	religioso
empreendimento	firma
guarda-louça	louceira
coriscar	relampear
fulgor	rutilação
glutinoso	peguenhento
anojadiço	azougado
alentoso	alto
desgarrar	empestear
instantâneo	momentâneo
encruar-se	excitar-se
desempachar	livrar
maçador	paulificante
esperteza	subtilidade
repetir	voltar
estuoso	febricitante
entufar	inturgescer
fementido	frustratório
rumor	runrum
proteger-se	velar-se
desvirtuar-se	perder-se
alcantilado	alcantiloso
acalentar	bafejar
elanguescer	prostrar
bacante	tíade
pacato	tranqüilo
gabela	gavela
atender	ver
graduação	graduamento
alcançar	depreender
transgredir	travessar
apedrar	lapidar
fuzilar	luziluzir
ardejar	chamear
fragrante	odorífico
lisonjear-se	repastar-se
desobstrução	desobstruência
comido	nutrido
semi-aberto	semicerrado
cuidadoso	cuidoso
inibir	negar
consecutivamente	sucessivamente
desumano	subumano
embuste	embustice
ranger	rechinar
aumentar-se	intensificar-se
afanar	ladroar
intermear	intermediar
esmerilhar	limar
abolorentar	mofar
bestial	desalmado
divagar	flanar
embriaguez	inebriamento
acabrunhado	aniquilado
espalhar	juncar
aceso	arremessado
correr	enxotar
abracadabrante	mágico
glorificar-se	jactar-se
arrogância	inchação
garrir	papear
horda	tropel
bolar	engenhar
registar	titular
irritadiço	violento
moiro	mourisco
cariciar	cortejar
parasitação	parasitismo
rasar	rasoirar
folgador	galhofento
inopinado	subitâneo
acurado	aprimorado
crescido	fermentado
apancado	estólido
corrompido	corruptivo
encarquilhado	esmarrido
liberdade	permissão
acotovelar	esporar
aporfiar	questionar
asserenar	calmar-se
atopetar	lotar
desadormentar	despertar
desfeita	inconsideração
empapar	engrampar
lameiroso	lutulento
grande	profundo
administrar	governar
infesto	ruinoso
humilhante	vexante
bradar	esgoelar
congestionar	entupir
espalhafato	vozearia
cobrir	satisfazer
desmiuçar	estriçar
lasca	talisca
encabrestar	submeter
ressequido	torrado
baldrocar	tapear
envaidecer-se	intumescer-se
improvidente	negligente
agrestia	rudeza
cru	feroz
anegrado	negrusco
coligar-se	ligar-se
engrolado	tapeado
apeçonhentado	peçonhento
antipático	contrário
pautar	recensear
decretar	impor
conturbar	desacomodar
açodar	apicaçar
enleio	envolvimento
azedia	pique
balneário	terma
dormideira	modorra
enfarar-se	enjoar-se
duvidoso	irresoluto
aforismal	aforístico
facultoso	opulento
alambazado	lambaz
errabundo	vagamundo
quietude	suavidade
donaire	ornato
adstringir-se	restringir-se
intricar	intrincar
agastamento	arrelia
perseverar	persistir
arrear	vestir
desperdiçado	extravagante
abobalhado	apatetado
horroroso	tétrico
desencarrilhar	desmandar-se
desfortalecer	desvigorar
entrecruzar-se	travar-se
abiúdo	adiantado
desvalidar	revogar
sibilar	tinir
cachaçudo	soberbo
caído	gelado
aiar	ulular
abespinhado	sanhoso
depender	originar-se
consternado	desolado
afilado	apuado
claro	morto
achambonado	achavascado
reger	regular
brejoso	charqueiro
rinha	rixa
acabado	encerrado
benquistar	compor
acender	espicaçar
abrilhantar	avivar
organização	sociedade
exagitar	marfar
excepcionalmente	extraordinariamente
desarborizar	desmoutar
retransir	transpassar
apandilhar-se	deslustrar-se
clava	toco
banana	pateta
desafortunado	infortunado
atropelar	enlabirintar
capacidade	competência
centelhar	vagalumear
restabelecimento	restauro
interpretar	ter
desabrido	desamorável
definito	preciso
aprazível	sonoro
amenta	voz
selvagem	silvícola
artimanha	raposice
endurecimento	pertinácia
milenar	milenário
embonecrar	pendoar
modelo	tipo
espiráculo	resfolegadoiro
emascarar	sufocar
adinamizar	desvigorizar
empeçonhar	prevaricar
argúcia	transcendência
contundido	pisado
cerrado	unido
amical	amistoso
galear	janotar
embrulhar	ludibriar
acariciador	amimador
aparatar	ornamentar
engrampar	enloisar
comunhão	união
exercitar	trenar
pugnador	pugnaz
envinagrar-se	reprurir-se
abilolado	desabotinado
hástea	vergôntea
aguilhoar	inflamar
fanado	torrado
assustar-se	espaventar-se
reabastecimento	refornecimento
decisão	determinação
abarregar-se	juntar-se
desajeitar-se	perturbar-se
discernir	medir
azul-do-céu	cérulo
individualmente	singularmente
apocalíptico	intrincado
dificultar	fechar
afanoso	fatigante
pregar	tracionar
delgado	delicado
desacorçoado	desencorajado
licencioso	obsceno
barracar	enrinconar
desalinhar	desaparelhar
embuchar-se	locupletar-se
sacerdote	tonsurado
fundar-se	jogar
abandonar	negar
desgovernado	estragador
atabalhoamento	pipoco
afastamento	apartada
penitência	tortura
açaimar	medir
desengatilhar	transfazer
injúria	opróbrio
foguear	ruborizar
estuporar-se	imobilizar-se
abaixar	acocorar
conubial	marital
chateza	estopada
lesto	presto
embatumar	preencher
safar	sobnegar
consistente	pastoso
chilreiro	dizedor
desmobilhado	desmobiliado
alar	guindar
emproar-se	entufar-se
enlaçar	estreitar
encanudado	encanutado
desesperante	desesperativo
redutivo	redutor
enlear-se	enredear-se
debulhado	escorchado
embalador	ilusivo
vaivém	volta
alvear	dealvar
sobreabundar	superabundar
deaurar	doirar
friento	friorento
atrativo	poesia
aborrido	maçante
pardieiro	tapera
flutuador	salva-vidas
fraudar	tolher
corrugar-se	encorrilhar-se
excedente	sobra
desambicioso	desapegado
deleitar-se	satisfazer-se
estroinar	patuscar
albergaria	poisada
conchavo	mancomunagem
penhorar	seqüestrar
investir	lançar-se
aparamentar	colorizar
eletrizar	esporar
abracável	abrangível
pitônico	vatídico
empavonar-se	estadear-se
empavonear-se	envaidecer-se
berrante	clamador
dilapidador	prodigalizador
cachamorrada	marretada
latir	vociferar
estimular	impelir
verdejante	verdoso
languescer	prostrar
arrepiar-se	enchoiriçar-se
adomar	temperar
difícil	fatigoso
vário	volátil
categoricamente	expressamente
infecionar	pestiferar
esperdiçar	prodigalizar
intriga	invenção
cegar	embaciar
cisão	corte
abananado	apombocado
assentamento	firmação
descantar	entoar
jactante	loroteiro
concluir	deduzir
devassar	esmiuçar
abestalhado	atroado
consumir	dissipar
bestar	vagar
abalroada	colisão
admissão	aprovação
debandar	estroçar
abreviado	encondensado
sovinice	tacanhice
desacreditar-se	difamar-se
sinopse	súmula
escandescer	pruir
ativo	laborioso
paniguado	protegido
fincar	meter
fortificar-se	oxigenar-se
anúncio	vaticínio
alfobre	alfofre
drogomano	turgimão
falatório	rumor
aleijar	jarretar
cômodo	tranqüilo
afetar	irritar
esgoelamento	gritadeira
adamado	alfeninado
atiramento	remetida
desprezável	reles
examinar	perscrutar
desconcertar	desestruturar
horripilante	temerso
restrugir	zonzear
teste	verificação
envencilhado	implexo
desfalcar	diminuir
arrombamento	depredação
poetificar	versar
estarrecer	fulminar
desgovernar	viciar
agastado	enraivecido
chavascada	preacada
atormentar	chicotar
fúsil	fusível
desmembramento	destroncamento
amolgar	prostrar
certâmen	justa
aformosentar	ajaezar
apejar-se	oscilar
aflitivo	dilacerante
caixa-forte	cofre-forte
cineração	incineração
ignavo	manzanza
aperrar	insistir
idiotismo	zotismo
burricada	parvoíce
dissolvência	liqüidificação
arrear-se	fanfarronar
fúnebre	funeral
homogeneizar	uniformizar
sapateado	sapateio
evidenciar-se	patentizar-se
albergar	asilar
aniquilado	apeado
desembutir	desmontar
amarasmeado	letárgico
entrever-se	vislumbrar
limitado	restringido
dissimulado	indireto
contrastar	opor
aberta	abertão
governar	tronejar
alarmar	ariscar
afouteza	coragem
apaixonante	sedutor
mantimento	retenção
rabeira	viso
chutar	enjeitar
agarrar	garrear
aloucar	variar
acroase	dissertação
intertecer	obrar
estreitar	minuir
inclinar	pender
mundificar	purgar
imperecedor	perene
nitente	resplendente
enfurecer	exasperar
atristar	ofender
abluente	detergente
desabrigo	desagasalho
agigantear	agravar
arrematar	inteirar
iracundo	zangado
abelhudo	metido
afrouxar-se	entorpecer
abobadado	recurvado
aprofundar	desencovar
aflar	inspirar
charlar	tartarear
absorver-se	empregar-se
desaparecer	meter-se
faina	lide
determinado	feito
desalforjar	infundir
adulterado	contrafeito
desapertar-se	soltar-se
adulterar	extraviar
choroso	sentido
destilar	transcoar
concitar	reprurir
retirar-se	vazar
desidratar	ressecar
lamaceira	lameiro
assanhado	sanhoso
masticatório	mastigatório
escorregar	falhar
forte	musculoso
compilar	reunir
banzar	remoer
cascar	descorticar
brilhante	fastoso
louco	tresloucado
avizinhar-se	conchegar-se
comunidade	irmandade
apaziguamento	harmonia
compadresco	compadrio
desfruir	gostar
esperado	provável
balroar	preliar
desmanchar	esfacelar
abalroar	contender
encapar	entroixar
comunicativo	expansivo
bravatear	fumacear
cansar	entibiar
deleite	prazimento
abonecar-se	ajaezar-se
afincado	tenaz
